Object,xmin,ymin,xmax,ymax,below_object,below_dist,below_obj_index,side_object,side_length,side_obj_index,revised_distances_vert,revised_distances_hori,text_extraction
noiph,89,74,284,108,sovb,30.0,2,noinhan,251.0,5,30.0,251.0,BỘ CÔNG AN HỌC VIỆN AN NINH NHÂN DÂN Dây
ngayph,324,113,532,134,khongxd,224.0,6,,0.0,-1,-1.0,0.0,"Hà Nội, ngày 16 tháng 5 năm 2023"
sovb,119,113,250,129,tenvb,32.0,3,ngayph,243.5,1,32.0,243.5,COLIntermatat T01-QLĐT
tenvb,50,133,315,173,den,51.5,7,ngayph,245.5,1,51.5,-1.0,học trở lên đại
CNXH,291,81,596,111,ngayph,27.5,1,,0.0,-1,27.5,0.0,CỘNG HOÀ XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập - Tự do - Hạnh phúc
noinhan,324,36,551,82,CNXH,37.0,4,,0.0,-1,37.0,0.0,"Nơi nhận: Như trên - Đ/c Giám đốc HV (để báo cáo); Lưu: VT, QLĐT"
khongxd,21,231,555,464,noinhan,151.0,9,,0.0,-1,151.0,0.0,KT.giám đóc PHÓ GIÁM ĐỐC melac TíS Trần Kim Hải
den,14,182,173,227,khongxd,143.0,6,,0.0,-1,143.0,0.0,150 Số: ĐẾN M15 Ngày
khongxd,274,457,531,577,,0.0,-1,,0.0,-1,0.0,0.0,KT.giám đóc PHÓ GIÁM ĐỐC melac TíS Trần Kim Hải
noinhan,76,464,255,533,,0.0,-1,khongxd,237.0,8,0.0,237.0,"Nơi nhận: Như trên - Đ/c Giám đốc HV (để báo cáo); Lưu: VT, QLĐT"
